ICD10Code	ICD10Description	AlcoholAbuse	Anemia	Anxiety	Bipolar	CAD	CardiacArrhythmias	Cerebrovascular	CHF	ChronicLiverDisease	ChronicRenalFailure	CPD	Depression	Diabetes	DrugAbuse	HTN	MalignantTumor	NicotineAbuse	PainArthritis	Psychosis	PTSD	PVD
D50.9	Iron deficiency anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.0	Vitamin B12 deficiency anemia due to intrinsic factor deficiency	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.1	Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.2	Transcobalamin II deficiency	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.3	Other dietary vitamin B12 deficiency anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.8	Other vitamin B12 deficiency anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D51.9	Vitamin B12 deficiency anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D52.0	Dietary folate deficiency anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D52.1	Drug-induced folate deficiency anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D52.8	Other folate deficiency anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D52.9	Folate deficiency anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D53.0	Protein deficiency anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D53.1	Other megaloblastic anemias, not elsewhere classified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D53.2	Scorbutic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D53.8	Other specified nutritional anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D53.9	Nutritional anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.0	Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.1	Anemia due to other disorders of glutathione metabolism	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.2	Anemia due to disorders of glycolytic enzymes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.3	Anemia due to disorders of nucleotide metabolism	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.8	Other anemias due to enzyme disorders	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D55.9	Anemia due to enzyme disorder, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.0	Alpha thalassemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.1	Beta thalassemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.2	Delta-beta thalassemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.3	Thalassemia minor	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.4	Hereditary persistence of fetal hemoglobin [HPFH]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.5	Hemoglobin E-beta thalassemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.8	Other thalassemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D56.9	Thalassemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.00	Hb-SS disease with crisis, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.01	Hb-SS disease with acute chest syndrome	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.02	Hb-SS disease with splenic sequestration	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.1	Sickle-cell disease without crisis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.20	Sickle-cell/Hb-C disease without crisis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.211	Sickle-cell/Hb-C disease with acute chest syndrome	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.212	Sickle-cell/Hb-C disease with splenic sequestration	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.219	Sickle-cell/Hb-C disease with crisis, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.3	Sickle-cell trait	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.40	Sickle-cell thalassemia without crisis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.411	Sickle-cell thalassemia with acute chest syndrome	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.412	Sickle-cell thalassemia with splenic sequestration	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.419	Sickle-cell thalassemia with crisis, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.80	Other sickle-cell disorders without crisis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.811	Other sickle-cell disorders with acute chest syndrome	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.812	Other sickle-cell disorders with splenic sequestration	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D57.819	Other sickle-cell disorders with crisis, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D58.0	Hereditary spherocytosis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D58.1	Hereditary elliptocytosis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D58.2	Other hemoglobinopathies	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D58.8	Other specified hereditary hemolytic anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D58.9	Hereditary hemolytic anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.0	Drug-induced autoimmune hemolytic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.1	Other autoimmune hemolytic anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.2	Drug-induced nonautoimmune hemolytic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.3	Hemolytic-uremic syndrome	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.4	Other nonautoimmune hemolytic anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.5	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.6	Hemoglobinuria due to hemolysis from other external causes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.8	Other acquired hemolytic anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D59.9	Acquired hemolytic anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D60.0	Chronic acquired pure red cell aplasia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D60.1	Transient acquired pure red cell aplasia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D60.8	Other acquired pure red cell aplasias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D60.9	Acquired pure red cell aplasia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.01	Constitutional (pure) red blood cell aplasia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.09	Other constitutional aplastic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.1	Drug-induced aplastic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.2	Aplastic anemia due to other external agents	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.3	Idiopathic aplastic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.810	Antineoplastic chemotherapy induced pancytopenia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.811	Other drug-induced pancytopenia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.818	Other pancytopenia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.82	Myelophthisis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.89	Other specified aplastic anemias and other bone marrow failure syndromes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D61.9	Aplastic anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D63.0	Anemia in neoplastic disease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D63.1	Anemia in chronic kidney disease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D63.8	Anemia in other chronic diseases classified elsewhere	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.0	Hereditary sideroblastic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.1	Secondary sideroblastic anemia due to disease	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.2	Secondary sideroblastic anemia due to drugs and toxins	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.3	Other sideroblastic anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.4	Congenital dyserythropoietic anemia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.81	Anemia due to antineoplastic chemotherapy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.89	Other specified anemias	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D64.9	Anemia, unspecified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F06.4	Anxiety disorder due to known physiological condition	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.00	Agoraphobia, unspecified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.01	Agoraphobia with panic disorder	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.02	Agoraphobia without panic disorder	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.10	Social phobia, unspecified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.11	Social phobia, generalized	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.210	Arachnophobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.218	Other animal type phobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.220	Fear of thunderstorms	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.228	Other natural environment type phobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.230	Fear of blood	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.231	Fear of injections and transfusions	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.232	Fear of other medical care	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.233	Fear of injury	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.240	Claustrophobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.241	Acrophobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.242	Fear of bridges	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.243	Fear of flying	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.248	Other situational type phobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.290	Androphobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.291	Gynephobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.298	Other specified phobia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.8	Other phobic anxiety disorders	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F40.9	Phobic anxiety disorder, unspecified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.0	Panic disorder [episodic paroxysmal anxiety]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.0	PANIC DISORDER [EPISODIC PAROXYSMAL ANXIETY] WITHOUT AGORAPHOBIA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.1	Generalized anxiety disorder	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.3	Other mixed anxiety disorders	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.8	Other specified anxiety disorders	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F41.9	Anxiety disorder, unspecified	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.10	Manic episode without psychotic symptoms, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.11	Manic episode without psychotic symptoms, mild	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.12	Manic episode without psychotic symptoms, moderate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.13	Manic episode, severe, without psychotic symptoms	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.2	Manic episode, severe with psychotic symptoms	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.3	Manic episode in partial remission	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.4	Manic episode in full remission	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.8	Other manic episodes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F30.9	Manic episode, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.0	Bipolar disorder, current episode hypomanic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.10	Bipolar disorder, current episode manic without psychotic features, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.11	Bipolar disorder, current episode manic without psychotic features, mild	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.12	Bipolar disorder, current episode manic without psychotic features, moderate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.13	Bipolar disorder, current episode manic without psychotic features, severe	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.2	Bipolar disorder, current episode manic severe with psychotic features	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.30	Bipolar disorder, current episode depressed, mild or moderate severity, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.31	Bipolar disorder, current episode depressed, mild	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.32	Bipolar disorder, current episode depressed, moderate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.4	Bipolar disorder, current episode depressed, severe, without psychotic features	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.5	Bipolar disorder, current episode depressed, severe, with psychotic features	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.60	Bipolar disorder, current episode mixed, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.61	Bipolar disorder, current episode mixed, mild	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.62	Bipolar disorder, current episode mixed, moderate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.63	Bipolar disorder, current episode mixed, severe, without psychotic features	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.64	Bipolar disorder, current episode mixed, severe, with psychotic features	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.70	Bipolar disorder, currently in remission, most recent episode unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.71	Bipolar disorder, in partial remission, most recent episode hypomanic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.72	Bipolar disorder, in full remission, most recent episode hypomanic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.73	Bipolar disorder, in partial remission, most recent episode manic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.74	Bipolar disorder, in full remission, most recent episode manic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.75	Bipolar disorder, in partial remission, most recent episode depressed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.76	Bipolar disorder, in full remission, most recent episode depressed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.77	Bipolar disorder, in partial remission, most recent episode mixed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.78	Bipolar disorder, in full remission, most recent episode mixed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.81	Bipolar II disorder	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.89	Other bipolar disorder	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F31.9	Bipolar disorder, unspecified	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I20.0	Unstable angina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I20.1	Angina pectoris with documented spasm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I20.8	Other forms of angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I20.9	Angina pectoris, unspecified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I23.7	Postinfarction angina	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I24.8	Other forms of acute ischemic heart disease	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I24.9	Acute ischemic heart disease, unspecified	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.110	Atherosclerotic heart disease of native coronary artery with unstable angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.111	Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.118	Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.119	Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.2	Old myocardial infarction	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.41	Coronary artery aneurysm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.42	Coronary artery dissection	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.5	Ischemic cardiomyopathy	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.6	Silent myocardial ischemia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.700	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.701	Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.708	Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.709	Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.710	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.711	Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.718	Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.719	Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.720	Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.721	Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I25.728	Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
